algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
xxh3,8,low_entropy,117720064,200000209,1.6989475048195692,4708.797639306467
xxh3,8,repeating,121003008,200001042,1.6528600842716241,4840.095103104513
xxh3,16,random,115311616,200000792,1.7344375088802848,9224.892749424711
xxh3,16,low_entropy,114105344,200000583,1.7527713951767236,9128.400910711345
xxh3,16,repeating,114224128,200000583,1.7509486524598377,9137.903603010996
xxh3,32,random,74187776,200000042,2.6958624827896176,11870.04166729125
xxh3,32,low_entropy,74652672,200000958,2.679086396264557,11944.370306466231
xxh3,32,repeating,73544704,200000583,2.7194423544080073,11767.118338850041
xxh3,64,random,45623296,200003250,4.383796602507632,14599.217482715905
xxh3,64,low_entropy,44713984,200002667,4.4729332774283765,14308.284079031808
xxh3,64,repeating,45456384,200001958,4.3998651102560205,14545.900475634342
xxh3,256,random,19557376,200000417,10.226342071656239,25033.389085383755
xxh3,256,low_entropy,19709952,200002917,10.147306142602478,25228.370604214735
xxh3,256,repeating,19707904,200001834,10.148305674718124,25225.885798627227
xxh3,1024,random,6707200,200010167,29.82021812380725,34339.11837091762
xxh3,1024,low_entropy,6884352,200014667,29.053521231918413,35245.29752610592
xxh3,1024,repeating,6979584,200027167,28.65889528659588,35730.616611692545
xxh3,4096,random,1782784,200111042,112.2463753320649,36491.15606524102
xxh3,4096,low_entropy,1782784,200005583,112.18722122253733,36510.39713226406
xxh3,4096,repeating,1734656,200067792,115.33571613046045,35513.71715043469
xxh3,16384,random,425984,200127959,469.8015864445613,34874.29687922815
xxh3,16384,low_entropy,422912,200394125,473.84355374167677,34576.813107669695
xxh3,16384,repeating,420864,200003625,475.22150861085765,34476.55399245889
xxh3,65536,random,106496,201278625,1890.0111271784856,34674.92813009826
xxh3,65536,low_entropy,106496,200889041,1886.3529240534856,34742.17319798943
xxh3,65536,repeating,104448,201459209,1928.7991057751226,33977.61840710891
xxh3_seeded,8,random,105372672,200000959,1.8980344258518944,4214.88666961842
xxh3_seeded,8,low_entropy,106937344,200001542,1.8702684629982955,4277.46078077738
xxh3_seeded,8,repeating,105326592,200001583,1.8988707334231416,4213.030333864907
xxh3_seeded,16,random,103593984,200001458,1.9306281144665698,8287.458304428961
xxh3_seeded,16,low_entropy,103416832,200001334,1.9339340621070271,8273.291377146514
